"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","CDSD","CDSD_ATTRIBUTES","CLDD","CLDD_ATTRIBUTES","DP01","DP01_ATTRIBUTES","DP10","DP10_ATTRIBUTES","DSND","DSND_ATTRIBUTES","DSNW","DSNW_ATTRIBUTES","DT00","DT00_ATTRIBUTES","DT32","DT32_ATTRIBUTES","DX32","DX32_ATTRIBUTES","DX70","DX70_ATTRIBUTES","DX90","DX90_ATTRIBUTES","EMNT","EMNT_ATTRIBUTES","EMSD","EMSD_ATTRIBUTES","EMSN","EMSN_ATTRIBUTES","EMXP","EMXP_ATTRIBUTES","EMXT","EMXT_ATTRIBUTES","HDSD","HDSD_ATTRIBUTES","HTDD","HTDD_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","PSUN","PSUN_ATTRIBUTES","SNOW","SNOW_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2000-01","11.4",",X","0","0","0",",0","6",",0","5",",0","11",",0","3",",0","0",",0","24",",0","11",",0","0",",0","0",",0","7",",0,22,","9",",,0,26,","8.5",",,0,25,","1.03",",,0,25,","67",",0,04,","2526","0","1019",",0","3.22",",,,0",,,"13.7",",,,0","32.1",",0","39.6",",,,0","24.7",",,,0","10463",",X","270",",X","300",",X","42.9",",X","51",",X"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2000-02","9.2",",X","0","0","0",",0","10",",0","5",",0","12",",0","2",",0","0",",0","20",",0","2",",0","0",",0","0",",0","17",",0,03,","5",",,0,05,","3.6",",,0,18,","0.80",",,0,18,","69",",0,25,","3326","0","799",",0","2.02",",,,0",,,"5.7",",,,0","37.4",",0","45.7",",,,0","29.2",",,,0","10726","1,X","290",",X","220",",X","29.1",",X","38",",X"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2000-03","11.0",",X","0","0","0",",0","8",",0","8",",0","0",",0","0",",0","0",",0","6",",0","0",",0","2",",0","0",",0","24",",0,18,","0",",,0,31,+","0.0",",,0,31,+","2.24",",,0,21,","80",",0,08,","3852","0","527",",0","6.32",",,,0",,,"0.0",",,,0","48.0",",0","58.5",",,,0","37.6",",,,0","13952",",X","260",",X","330",",X","34.0",",X","41",",X"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2000-04","10.7",",X","3","0","3",",0","14",",0","7",",0","1",",0","1",",0","0",",0","1",",0","0",",0","5",",0","0",",0","31",",0,09,","1",",,0,09,","1.6",",,0,09,","0.65",",,0,21,","77",",0,16,","4229","0","377",",0","3.05",",,,0",,,"1.6",",,,0","52.5",",0","61.6",",,,0","43.5",",,,0","10052",",X","280",",X","280",",X","36.9",",X","51",",X"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2000-05","8.7",",X","88","0","85",",0","13",",0","9",",0","0",",0","0",",0","0",",0","0",",0","0",",0","18",",0","2",",0","40",",0,01,","0",",,0,31,+","0.0",",T,0,24,","0.65",",,0,10,","91",",0,07,","4341","0","112",",0","3.02",",,,0",,,"0.0",",T,,0","64.1",",0","73.9",",,,0","54.4",",,,0","15614","1,X","290",",X","280",",X","36.0",",X","45",",X"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2000-06","9.4",",X","331","0","243",",0","10",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","26",",0","5",",0","53",",0,07,+","0",",,0,30,+","0.0",",,0,30,+","1.01",",,0,18,","94",",0,11,+","4358","0","17",",0","3.82",",,,0",,,"0.0",",,,0","72.5",",0","82.0",",,,0","63.1",",,,0","15805",",X","300",",X","280",",X","31.1",",X","40",",X"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2000-07","7.6",",X","611","0","280",",0","15",",0","8",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","1",",0","60",",0,08,","0",",,0,31,+","0.0",",,0,31,+","1.90",",,0,26,","91",",0,10,","0","0","0",",0","5.54",",,,0",,,"0.0",",,,0","74.0",",0","81.7",",,,0","66.4",",,,0","14921","2,X","160",",X","150",",X","32.0",",X","38",",X"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2000-08","8.3",",X","892","0","280",",0","15",",0","7",",0","0",",0","0",",0","0",",0","0",",0","0",",0","31",",0","2",",0","56",",0,22,","0",",,0,31,+","0.0",",,0,31,+","0.76",",,0,14,","92",",0,07,","0","0","0",",0","2.91",",,,0",,,"0.0",",,,0","74.0",",0","81.3",",,,0","66.7",",,,0","14091",",X","230",",X","230",",X","30.0",",X","37",",X"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2000-09","8.3",",X","1011","0","119",",0","11",",0","6",",0","0",",0","0",",0","0",",0","0",",0","0",",0","23",",0","0",",0","41",",0,30,","0",",,0,30,+","0.0",",,0,30,+","2.72",",,0,03,","87",",0,02,","78","0","78",",0","8.28",",,,0",,,"0.0",",,,0","66.4",",0","74.9",",,,0","57.9",",,,0","14287",",X","300",",X","300",",X","30.0",",X","36",",X"
"USW00013739","PHILADELPHIA INTERNATIONAL AIRPORT, PA US","39.87326","-75.22681","2.1","2000-10","8.1",",X","1021","0","10",",0","4",",0","2",",0","0",",0","0",",0","0",",0","0",",0","0",",0","13",",0","0",",0","35",",0,30,","0",",,0,31,+","0.0",",,0,31,+","1.06",",,0,04,","82",",0,04,+","315","0","237",",0","1.51",",,,0",,,"0.0",",,,0","57.7",",0","67.4",",,,0","48.0",",,,0","15154",",X","340",",X","340",",X","32.0",",X","37",",X"
